Variable,Title1,Title2,Title3,Type,Not Experience,Weight,Flag
NHQSCRIME,Agree or Disagree: This neighborhood has a lot of serious crime,"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",Do you agree or disagree with the following statement: This neighborhood has a lot of serious crime.,Binary,FALSE,FALSE,FALSE
NORC,Flag indicating respondent thinks the majority of neighbors 55 or older,"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",Sometimes communities that are not age-restricted still attract certain age groups. Do you think the majority of your neighbors are 55 or over?,Binary,FALSE,FALSE,FALSE
SUBDIV,Flag indicating house is part of a subdivision or housing development,,Is your home part of a subdivision or housing development?,Binary,FALSE,FALSE,FALSE
NOWIRE,Flag indicating electrical wiring concealed by walls,,Is all the electrical wiring in the finished areas of this unit either concealed inside walls or under protective metal or plastic coverings?,Binary,FALSE,FALSE,FALSE
TENURE,Owner or renter status of unit,,"Is this unit (1) Owned or being bought by someone in your household?, (2) Rented?, or (3) Occupied without payment of rent?",Categorical,FALSE,FALSE,FALSE
MHWIDE,Type of manufactured or mobile home,,"Is the mobile home a single-wide, double-wide, or triple-wide unit?",Binary,FALSE,FALSE,FALSE
PLUGS,Flag indicating every room has working electrical plug,,Does every room have an electrical outlet or wall plug that works?,Binary,FALSE,FALSE,FALSE
PORCH,Flag indicating unit has porch or deck or balcony or patio,,"Does this unit have a porch, deck, balcony, or patio?",Binary,FALSE,FALSE,FALSE
LEAKO,Flag indicating outside water leaks in last 12 months,"Respondents were first asked LEAK1 (Did water ever leak into your home from the outside?), and if they replied yes, were then asked LEAK2 (Did water leak in from the outside within the past 12 months?). AHS began imputing LEAKO in 2017.",Did water leak in from the outside within the past 12 months?,Binary,FALSE,FALSE,FALSE
LEAKI,Flag indicating inside water leaks in last 12 months,"Respondents were first asked ILEAK1 (Since you've lived here, did water leak in--from broken pipes or water heaters, backed up plumbing, another unit?), and if they replied yes, were then asked ILEAK2 (Did any inside water leaks happen within the past 12 months?). AHS began imputing LEAKI in 2017.",Did any inside water leaks happen within the past 12 months?,Binary,FALSE,FALSE,FALSE
NOTOIL,Flag indicating if unit had any toilet breakdowns in last 3 months,"NOTOIL is determined using IFTLT1 (Was there any time in the past year when your toilet was broken, or stopped up, or otherwise not working so you couldn't use it?) and IFTLT2 (Did that happen at all within the past 3 months?). This question is only asked if the respondent replied that they had a flush toilet. AHS began imputing NOTOIL in 2017.",See User Notes,Binary,FALSE,FALSE,FALSE
PAINTPEEL,Flag indicating interior area of peeling paint larger than 8 x 11,"Respondents were first asked BIGP1 (Does this unit have any areas of peeling paint or broken plaster?), and if they replied yes, were then asked BIGP2 (Are any of these areas bigger than 8 inches by 11 inches?).",See User Notes,Binary,FALSE,FALSE,FALSE
HOWBUY,Description of how owner obtained unit,HOWBUY is determined using CUSHOM (How did you obtain this unit?) and PREOCC (Did you receive the home as a gift or inheritance or did you purchase it?).,See User Notes,Categorical,FALSE,FALSE,FALSE
OCCJANUR,Flag indicating unit is typically occupied in January,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCFEBRU,Flag indicating unit is typically occupied in February,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCMARCH,Flag indicating unit is typically occupied in March,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCAPRIL,Flag indicating unit is typically occupied in April,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCMAY,Flag indicating unit is typically occupied in May,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCJUNE,Flag indicating unit is typically occupied in June,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCJULY,Flag indicating unit is typically occupied in July,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCAUGUST,Flag indicating unit is typically occupied in August,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCSEPTEM,Flag indicating unit is typically occupied in September,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCOCTOB,Flag indicating unit is typically occupied in October,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCNOVEM,Flag indicating unit is typically occupied in November,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCDECEM,Flag indicating unit is typically occupied in December,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OCCYRRND,Flag indicating unit is typically occupied year-round,,During what months is this unit occupied during a typical year? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEADINSP,Flag indicating lead pipes inspected before purchase,,"When you got this unit, did anyone make inquiries or have this unit inspected or tested for lead pipes?",Binary,FALSE,FALSE,FALSE
MONLSTOCC,Number of months since this unit has been occupied as permanent home,,How many months has it been since this unit was occupied as a permanent home?,Continuous,FALSE,FALSE,FALSE
SUITYRRND,Flag indicating this unit is suitable for year round use,,Does the construction and heating of this housing unit make it suitable for year round use?,Binary,FALSE,FALSE,FALSE
TIMESHARE,Flag indicating ownership of unit time shared,,Is the ownership of this housing unit time-shared?,Binary,FALSE,FALSE,FALSE
VACRESDAYS,Number of nights owner spends at this unit,,"In the past year, how many nights did the owner(s) stay in this unit?",Categorical,FALSE,FALSE,FALSE
VACRNTDAYS,Number of nights this unit was rented out,,"In the past year, how many nights was this unit rented out?",Categorical,FALSE,FALSE,FALSE
PERMNEAR,Flag indicating this unit is within 150 miles of owners residence,,Is this unit within 150 miles of the owner's current residence?,Binary,FALSE,FALSE,FALSE
VACPRIRES,Flag indicating this was a previous usual residence,,Which of the following reasons is why the owner owns this unit? (Mark all that apply),Binary,FALSE,FALSE,FALSE
VACREC,Flag indicating this unit is used for recreational purposes,,Which of the following reasons is why the owner owns this unit? (Mark all that apply),Binary,FALSE,FALSE,FALSE
VACINVEST,Flag indicating this unit is used for investment purposes,,Which of the following reasons is why the owner owns this unit? (Mark all that apply),Binary,FALSE,FALSE,FALSE
VACSELL,"Flag indicating the owner wishes to sell this unit, but has not been able to do so",,Which of the following reasons is why the owner owns this unit? (Mark all that apply),Binary,FALSE,FALSE,FALSE
VACINHER,Flag indicating this unit was inherited,,Which of the following reasons is why the owner owns this unit? (Mark all that apply),Binary,FALSE,FALSE,FALSE
VACOTH,Flag indicating this unit is owned for some other reason,,Which of the following reasons is why the owner owns this unit? (Mark all that apply),Binary,FALSE,FALSE,FALSE
OWNLOT,Flag indicating owner owns the lot,"OWNLOT is determined by using information from multiple items, including OWNLOT1, OWNLOT2 and INCS2. OWNLOT in 2013 and earlier was only provided for mobile homes. However, there are other situations where the unit, but not the land, is owned. This sometimes occurs on university property where the unit itself is owned, but the land is rented.",See User Notes,Binary,TRUE,FALSE,FALSE
RENTCNTRL,Flag indicating rent is limited by rent control or stabilization,RENTCNRL is determined by either RCNTRL1 or RCNTRL2.,Does the government limit the rent on the unit through rent control or rent stabilization?,Binary,FALSE,FALSE,FALSE
RENTSUB,Type of rental subsidy or reduction (based on respondent report),"RENTSUB is determined using multiple items collected during the interview: 1 = Public Housing (if PROJ1 (Is the housing authority your landlord?) or PROJ2 (Is the building owned by the public housing authority?) is reported to be yes) 2 = Portable Voucher (else if VCHER (Does your household have a housing voucher?) and VCHRMOV (Can you use your housing voucher to move to another location?) are reported yes) 3 = Non-Portable Voucher (else if VCHER is yes and VCHRMOV is no, dk, or refused) 4 = Other Federal/State/Local Subsidy (else if SUBRNT1 (Is your rent amount lower because you are in either a Federal, State or local government housing program?) or SUBRNT2 (Does the Federal, State, or local government pay some of the cost of the unit?) are reported yes) 5 = Rent Reduction Requiring Annual Recertification Not Reported Above (else if RENEW (Do you have to re-certify to determine the amount of rent you pay?) is yes) 6 = Rent Reduction Because HH Member Works for Owner (else if RNTADJ1 (Is rent reduced for this unit because someone in the household works for the owner?) is yes) 7 = Rent Reduction Because HH Member Related to Owner (else if RNTADJ2 (Is rent reduced for this unit because someone in the household is related to the owner?) is yes)",See User Notes,Binary,FALSE,FALSE,FALSE
NEARABAND,Number of buildings that are abandoned or vandalized within 1/2 block of this housing unit,"NEARABAND is determined using EABAN1 (Are there any vandalized or abandoned buildings within half a block of this unit?) and EABAN2 ( Is there more than one vandalized or abandoned building?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",See User Notes,Binary,FALSE,FALSE,FALSE
NEARBARCL,Number of buildings with bars on windows within 1/2 block of this housing unit,"NEARBARCL is determined using EBARCL1 (Now, thinking of ALL of the buildings that are within half a block of your unit, do any of these buildings have metal bars on their windows?) and EBARCL2 (Is there more than one building with metal bars on the windows?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",See User Notes,Binary,FALSE,FALSE,FALSE
NEARTRASH,"Frequency of trash, litter, or junk in streets, lots, or properties within 1/2 block of this housing unit","NEARTRASH is determined using EJUNK1 (Is there trash, litter or junk in the streets, roads, empty lots or on any properties within half a block of this unit?) and EJUNK2( Is there a small amount or a large amount of trash, litter or junk?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",See User Notes,Binary,FALSE,FALSE,FALSE
INTLANG,Interview language,"This question is not asked of the respondent. The Field Representative provided the language information as the interview was being completed. This information is recorded for all Occupied, Vacant, and URE interviews.",In what language was the interview conducted?,Categorical,FALSE,FALSE,FALSE
DIVISION,Census division,"DIVISION appears on the National PUF only. The Metro IUF, not the PUF, includes DIVISION (due to disclosure reasons).",NA,Categorical,TRUE,FALSE,FALSE
OMB13CBSA,2013 OMB CBSA code,These values adhere to the Office of Management and Budget (OMB) definitions for Core Based Statistical Areas (CBSAs). More information on these can be found at https://www.census.gov/programs-surveys/metro-micro.html. OMB13CBSA codes are only produced for cases in the 15 largest metropolitan areas (on the National microdata) and cases on the Metropolitan microdata files.,NA,Categorical,TRUE,FALSE,FALSE
WEIGHT,Final weight,"Each housing unit in the AHS represents itself and a number of other units. In order to develop estimates using the AHS the final weight must be applied to the survey data. The final weight starts with the inverse of the sampling fraction (PWT) and incorporates several adjustment factors that minimize sampling errors and errors from incomplete survey data. The Noninterview Adjustment Factor increases the weight of each interviewed unit to account for sampled units that were not interviewed. This adjustment is applied to five classes of geography: central cities, urban and rural inside MSAs, urban and rural outside MSAs. Over time the geographic boundaries related to these five classes may be redefined by local or state governments. For National surveys, WEIGHT uses the boundaries as they were officially defined in 1980. For Metro surveys, WEIGHT uses the boundaries as they were defined in the decennial year prior to the survey year. More information on weighting can be found at www.census.gov/programs-surveys/ahs/tech-documentation/def-errors-changes.html. WEIGHT may be used with all Metro surveys, and for National survey years 1997, 1999, and 2015 and later. For National survey years 2001 to 2013, WGT90GEO should be used as the final weight.",Final weight,#N/A,#N/A,FALSE,FALSE
SP1WEIGHT,Final weight for split sample: group 1 topical modules,"Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.",NA,#N/A,#N/A,FALSE,FALSE
SP2WEIGHT,Final weight for split sample: group 2 topical modules,"Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.",NA,#N/A,#N/A,FALSE,FALSE
INTMODE,Interview mode,Interview mode is determined using information provided by the Field Representative.,NA,Binary,FALSE,FALSE,FALSE
INTSTATUS,Interview status,Interview status is determined using information provided by the Field Representative.,NA,Categorical,FALSE,FALSE,FALSE
INTMONTH,Interview month,"Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact.",NA,Categorical,FALSE,FALSE,FALSE
BLD,Type of housing unit,"BLD is determined using information from multiple items, including HTYPE, ISTYPE, and NUNITS.",See User Notes,Categorical,TRUE,FALSE,FALSE
ENTRYSYS,Flag indicating entry system required to access multifamily building,,"Does access to your building require a special entry system such as entry codes, key cards, or security guard approval?",Binary,FALSE,FALSE,FALSE
HHSEX,Sex of householder,,Are you male or female?,Binary,TRUE,FALSE,FALSE
HHMAR,Marital status of householder,,"Are you now married, widowed, divorced, separated or never married?",Categorical,TRUE,FALSE,FALSE
HHSPAN,Spanish origin of householder,,"Are you Mexican, Mexican American, Chicano, Puerto Rican, Cuban, Cuban American, or some other Spanish, Hispanic, or Latino group?",Binary,FALSE,FALSE,FALSE
HHCITSHP,US citizenship of householder,"HHCITSHP is determined using CITIZN (Are you a citizen of the United States?), CTZNA (Were you born a citizen of the United States?), and CTZNB (Did you become a citizen of the United States through naturalization?).",See User Notes,Binary,FALSE,FALSE,FALSE
MILHH,Type of military household,,NA,Categorical,TRUE,FALSE,FALSE
HHAGE,Age of householder,"AGE may be determined from either the birthdate (if provided) or the respondent's best estimate of age. AGE is altered, or ""perturbed"", in the public use microdata files to protect the confidentiality of survey respondents.",See User Notes,Continuous,TRUE,FALSE,FALSE
HHMOVE,Year householder moved in,,When did you move to this unit?,Continuous,TRUE,FALSE,FALSE
HHINUSYR,Year householder came to US,,When did you come to live in the United States?,Continuous,FALSE,FALSE,FALSE
HHRACE,Race of householder,"The IUF contains the following additional response code detail: 20=""Other combinations of 2 or 3 races,"" 21=""Other combinations of 4 or 5 races.""",Please choose one or more races that you consider yourself to be.,Categorical,TRUE,FALSE,FALSE
HHRACEAS,Race of householder (Asian group),,Which of the following Asian groups are you?,Categorical,FALSE,FALSE,FALSE
HHRACEPI,Race of householder (Native Hawaiian or other Pacific Islander group),,Which of the following Native Hawaiian or other Pacific Islander groups are you?,Categorical,FALSE,FALSE,FALSE
HHGRAD,Educational level of householder,The type for this variable changed in 2015 from numeric to character.,What is the highest level of school you have completed or the highest degree you have received?,Categorical,FALSE,FALSE,FALSE
HHNATVTY,Country of birth of householder,,In what country were you born?,Categorical,TRUE,FALSE,FALSE
PARTNER,Flag indicating unmarried partner household,,NA,Continuous,TRUE,FALSE,FALSE
HSHLDTYPE,Type of household,,NA,Categorical,TRUE,FALSE,FALSE
NUMELDERS,Number of persons age 65 and over living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMADULTS,Number of persons age 18 and over living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMNONREL,Number of non-relatives living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
HHYNGKIDS,"Number of the householder's children under age 6, living in this unit",,NA,Continuous,TRUE,FALSE,FALSE
HHOLDKIDS,"Number of the householder's children age 6 through 17, living in this unit",,NA,Continuous,TRUE,FALSE,FALSE
NUMVETS,Number of veterans living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMYNGKIDS,Number of children under age 6 living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMOLDKIDS,Number of children age 6 through 17 living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMSUBFAM,Number of subfamilies living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMSECFAM,Number of secondary families living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
NUMPEOPLE,Number of persons living in this unit,,NA,Continuous,TRUE,FALSE,FALSE
HHADLTKIDS,"Number of the householder's unmarried children age 18 and over, living in this unit",,NA,Continuous,TRUE,FALSE,FALSE
GRANDHH,Flag indicating grandparent headed household with no parent present,,NA,Binary,FALSE,FALSE,FALSE
MULTIGEN,Type of multigenerational household,,NA,Continuous,TRUE,FALSE,FALSE
UFINROOMS,Number of other unfinished rooms in unit,,How many other UNFINISHED rooms?,Continuous,TRUE,FALSE,FALSE
MHANCHOR,Type of mobile home anchoring,,"Is your mobile home anchored by tiedowns, bolts, or some other means?",Categorical,FALSE,FALSE,FALSE
LOTSIZE,Lot size (acres),"For disclosure reasons LOTSIZE is a categorical value; internal data users may want to use LOTSIZE_IUF. LOTSIZE may be determined using multiple items. The respondent may reply in either square feet, feet, or acres. If the respondent is uncertain the dimensions of the lot are asked. LOTSIZE is not asked of condominiums, cooperatives, or multi-family units because the lot for these types of units is typically shared community space.",See User Notes,Continuous,TRUE,FALSE,FALSE
FINROOMS,Number of other finished rooms in unit,"FINROOMS is the sum of LIVING (number of living rooms), FAMROOMS (family rooms, great rooms, or TV rooms), RECROOMS (recreation rooms), DENS (dens or libraries), and OTHFN (other finished rooms).",See User Notes,Continuous,TRUE,FALSE,FALSE
YRBUILT,Year unit was built,"For disclosure reasons YRBUILT is a categorical value; internal data users may want to use YRBUILT_IUF. The year the unit was built may be determined using multiple items. The respondent is first asked for the year (BUILTQ), but if they don't know they are asked what decade (DECADEQ), and may also be asked how many years old the building is (YRSOLD).",See User Notes,Date,FALSE,FALSE,FALSE
HOA,Flag indicating unit is part of a homeowner's association,,Is this unit part of a homeowner association?,Binary,FALSE,FALSE,FALSE
FOUNDTYPE,Type of foundation,"FOUNDTYPE is determined using information from CELAR1Q (Is this house built with a basement, crawl space, concrete slab, or some other way?), CELAR2Q (Is the basement under all or part of the house?), and MHSETQ (Is the manufactured/mobile home set up on a permanent masonry foundation, a concrete pad, or up on blocks?).",See User Notes,Categorical,FALSE,FALSE,FALSE
UNITFLOORS,Number of floors within the unit,FLOORS is calculated only for single family and mobile/manufactured units (FLOORS will be the same value as STORIES for these units).,How many stories are there in this building ?,Continuous,FALSE,FALSE,FALSE
UNITSIZE,Unit size (square feet),"For disclosure reasons, UNITSIZE is a categorical variable. Internal data users can use UNITSIZE_IUF to obtain the reported square footage.","Thinking about all the rooms you mentioned earlier, as well as the hallways and entry ways in this housing unit, about how many square feet is that?",Continuous,TRUE,FALSE,FALSE
BEDROOMS,Number of bedrooms in unit,,How many bedrooms are in this unit?,Continuous,TRUE,FALSE,FALSE
KITCHENS,Number of kitchens in unit,,How many kitchens?,Continuous,TRUE,FALSE,FALSE
WATSOURCE,Source of water for unit,,"Does most of the water for this housing unit come from a water system, either public or private, from an individual well, or from some other source?",Binary,FALSE,FALSE,FALSE
SEWUSERS,Number of units connected to septic tank or cesspool,,How many homes are connected to the septic tank or cesspool?,Continuous,FALSE,FALSE,FALSE
KITEXCLU,Flag indicating the unit's kitchen facilities are for the exclusive use of the household,,Are these kitchen facilities for your household's use only?,Binary,TRUE,FALSE,FALSE
FRIDGE,Flag indicating unit has a working refrigerator,,Does your unit have a refrigerator in working order?,Binary,TRUE,FALSE,FALSE
KITCHSINK,Flag indicating unit has a kitchen sink,,Does this housing unit have a kitchen sink?,Binary,TRUE,FALSE,FALSE
WASHER,Flag indicating unit has a working washing machine,,Does your unit have a washing machine in working order?,Binary,TRUE,FALSE,FALSE
COOKTYPE,Type of cooking equipment,"COOKTYPE is determined using multiple items including COOK, BURNER, and OVEN.",See User Notes,Categorical,FALSE,FALSE,FALSE
COOKFUEL,Type of fuel used most for cooking,"COOKFUEL is primarily determined using CFUEL (What fuel is used MOST for cooking--electricity, gas or something else?), but if the respondent reports ""gas,"" GASPI2/GASPIP (is the unit's heating fuel from Is it from underground pipes or bottled gas) is used to distinguish whether the unit uses LP or Piped Gas.",See User Notes,Categorical,TRUE,FALSE,FALSE
DRYER,Type of clothes dryer,"DRYER is determined using DRYQ (Does your unit have a clothes dryer in working order?) and DFUELQ (What type of fuel does the dryer use?) but if the respondent reports using ""gas"" GASPI2/GASPIP (is the unit's heating fuel from Is it from underground pipes or bottled gas) is used to distinguish whether the unit uses LP or Piped Gas.",See User Notes,Categorical,FALSE,FALSE,FALSE
SEWTYPE,Type of sewer system,"SEWTYPE is determined using PUBSEWQ (Is your home connected to a public sewer?), SEWDISQ (What means of sewage disposal does your home have?) for units that report not being connected to a public sewer, and SEWDISTP (What type of septic tank or cesspool system do you have?), which is asked for units that report using a septic tank or cesspool.",See User Notes,Categorical,FALSE,FALSE,FALSE
BATHROOMS,Number of bathrooms in unit,"BATHROOMS is determined using information from BATHS (A full bathroom is one that has a sink with running water, a toilet, and either a bathtub or shower. How many full bathrooms are in this unit?) and HALFB (A half-bathroom is one that has either a toilet or a bathtub or a shower. How many half bathrooms are in this unit?), as well as BSINK, TUB, and TOILET (Does this unit have a bathroom sink, bathtub or shower, flush toilet).",See User Notes,Continuous,TRUE,FALSE,FALSE
HOTWATER,Type of hot water system,"HOTWATER is determined using multiple items including WFUELQ (What type of fuel is used most to heat water?), SUNFUEL (How do you use solar energy to heat your water? Directly, indirectly, or other),SUNFUELSP (Specify other way sun heats water), HOTPIP1 (Does your full bath contain both hot and cold water?), HOTPIP2 for units with one or more half baths and no reported full baths (Does your unit contain both hot and cold water?), HOTPIPP (Is there both hot and cold water anywhere in your home?) for units that have one full bath without hot and cold running water.",See User Notes,Categorical,FALSE,FALSE,FALSE
HEATFUEL,Type of main heating fuel,"HEATFUEL is determined using multiple items including HFUELA, HFUELB, HFUELC, and GASPIP2.",What fuel is used most for heating this unit?,Categorical,FALSE,FALSE,FALSE
FIREPLACE,Flag indicating unit has a useable fireplace,,Does this unit have a useable fireplace?,Categorical,TRUE,FALSE,FALSE
ACPRIMARY,Type of primary air conditioning,"ACPRIMARY and ACSECNDRY are determined using multiple questions including AIRSYS1 (Does the heat pump provide air conditioning to your home?) or AIRSYS2 (Does your apartment have central air conditioning?), OARSYS1 (Unit's heat pump provides air conditioning) or OARSYS2 (Does your home have another central air conditioning system?), AIR (Do you use any room air conditioners?), and NUMAIR (How many?). It also incorporates AFUEL and OAFUEL, which ask what type of fuel the central and secondary central air conditioning systems use.",See User Notes,Categorical,FALSE,FALSE,FALSE
ACSECNDRY,Type of secondary air conditioning,See user notes for ACPRIMARY.,See User Notes,Categorical,FALSE,FALSE,FALSE
HEATTYPE,Type of main heating equipment,HEATTYPE is determined using multiple items including HCENTA/B/C and HPORTA/B/C.,See User Notes,Categorical,FALSE,FALSE,FALSE
COLD,Flag indicating unit was uncomfortably cold for 24 hours or more last winter,This question is only asked if the respondent replied that they had heating equipment and lived in the home during the winter. AHS began imputing COLD in 2017.,"Last winter, for any reason, was your unit so cold for 24 hours or more that you were uncomfortable?",Categorical,FALSE,FALSE,FALSE
COLDEQ,Flag indicating unit as uncomfortably cold for 24 hours or more last winter because the main heating equipment broke down,"This question is only asked if the respondent replied ""yes"" to COLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?). AHS began imputing COLDEQ in 2017.",Was that because the main heating equipment broke down?,Binary,FALSE,FALSE,FALSE
NOWAT,Flag indicating if unit was completely without running water in the last 3 months,This question is only asked if the respondent replied that the unit has both hot and cold water or has two or more bathrooms.,Was your home ever completely without running water in the past 3 months?,Binary,FALSE,FALSE,FALSE
COLDUTIL,Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to utility interruption,"This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down.",What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply,Binary,FALSE,FALSE,FALSE
COLDHTCAP,Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to inadequate heating capacity,"This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down.",What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply,Binary,FALSE,FALSE,FALSE
COLDINSUL,Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to inadequate insulation,"This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down.",What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply,Binary,FALSE,FALSE,FALSE
COLDCOST,Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to cost of heating,"This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down.",What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply,Binary,FALSE,FALSE,FALSE
COLDOTHER,Flag indicating unit was uncomfortably cold for 24 hours or more last winter because of some other reason,"This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down.",What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply,Binary,FALSE,FALSE,FALSE
LEAKOROOF,Flag indicating the outside water leak came from the roof,"Respondents were first asked LEAK2 (Did water leak in from the outside within the past 12 months?), and if they replied yes, were then asked WHERELK (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKOBASE,Flag indicating the outside water leak came from the basement,"Respondents were first asked LEAK2 (Did water leak in from the outside within the past 12 months?), and if they replied yes, were then asked WHERELK (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKOWALL,Flag indicating the outside water leak came from the walls or around closed windows or closed doors,"Respondents were first asked LEAK2 (Did water leak in from the outside within the past 12 months?), and if they replied yes, were then asked WHERELK (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKOOTH,Flag indicating the outside water leak came from somewhere else,"Respondents were first asked LEAK2 (Did water leak in from the outside within the past 12 months?), and if they replied yes, were then asked WHERELK (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKIPLUM,Flag indicating the inside water leak came from own plumbing fixtures backing up or overflowing,"Respondents were first asked ILEAK2 (Did any inside water leaks happen within the past 12 months?), and if they replied yes, were then asked WHERELK2 (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKIPIPE,Flag indicating the inside water leak came from pipes leaking (including pipes from other apartments),"Respondents were first asked ILEAK2 (Did any inside water leaks happen within the past 12 months?), and if they replied yes, were then asked WHERELK2 (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKIWATH,Flag indicating the inside water leak came from broken water heater,"Respondents were first asked ILEAK2 (Did any inside water leaks happen within the past 12 months?), and if they replied yes, were then asked WHERELK2 (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
LEAKIOTH,Flag indicating the inside water leak came from other source,"Respondents were first asked ILEAK2 (Did any inside water leaks happen within the past 12 months?), and if they replied yes, were then asked WHERELK2 (Where did the water come from?).",Where did the water come from? (Mark all that apply),Binary,FALSE,FALSE,FALSE
